"Sr. No.","Title","Link"
"1","Basic Gates","https://www.edaplayground.com/x/HGNw"
"2","16 Bit Demux","https://www.edaplayground.com/x/76EW"
"3","16 Bit Mux","https://www.edaplayground.com/x/du8U"
"4","4 Bit Adder","https://www.edaplayground.com/x/qdpH"
"5","Three to Eight Encoder","https://www.edaplayground.com/x/8rKm"
"6","Eight to Three Decoder","https://www.edaplayground.com/x/dbwr"
"7","BCD to Seven Segment Display","https://www.edaplayground.com/x/NTb9"
"8","N Bit Comparator","https://www.edaplayground.com/x/Dy9H"
"9","Set-Reset Flip Flop","https://www.edaplayground.com/x/vnQY"
"10","Data Flip Flop","https://www.edaplayground.com/x/Mqf2"
"11","Jump-Kill Flip Flop","https://www.edaplayground.com/x/LsDY"
"12","Toggle Flip Flop","https://www.edaplayground.com/x/Snmn"
"13","Ring Counter","https://www.edaplayground.com/x/9Unu"
"14","BCD Counter","https://www.edaplayground.com/x/vDtA"
"15","VGA Project","N/A Can't run on EDA Playground"
